Gender :,Age:,Graduation Year :,Program Code :,Current Occupation :,Job category :,Department :,Company Name,Type of Company :,Company's nature of business :,Years of work experience (after graduation):,Current Salary Midpoint
Male,23,2017,CS244,Enterprise System support ,Executive,IT,Mazda malaysia,Sole Trader(Perseorangan),Automotive ,1,2500.5
Female,34,2011,CS772,Lecturer,Education,General studies department,Majlis amanah rakyat,Statutory Body(Badan Berkanun),Education,6,7500.5
Female,23,2017,CS244,Penolong Pegawai Teknologi Maklumat,Non Executive,Information Technology,Universiti Malaysia Kelantan,Statutory Body(Badan Berkanun),Education,1,2500.5
Female,25,2017,CS244,"Outbound, Liner Documentation ",Executive,Documentation,NOL Global Services Centre Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,TRANSPOTATION AND SHIPPING LINE,1,2500.5
Female,23,2015,CS110,Admin management,Non Executive,Management,NJ MANAGEMENT & SERVICES,Private Limited Company(Syarikat Sendirian Berhad,Accountant and Audit,1,1500
Female,31,2011,CS222,Banker,Executive,Group Risk,Bank Pembangunan Malaysia Bhd,Government Owned Corporation,Financial Institution,4,3500.5
Male,24,2017,CS251 ,Teacher,Executive,It,Iissa,Private Limited Company(Syarikat Sendirian Berhad,Education,1,1500
Male,24,2017,CS240,Programmer,Junior Software Engineer,Mobile,Opensoft Technologies Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,34,2006,CS 228,Asst Manager ,Manager,Compliance,Bank Pembangunan Malaysia Berhad,Government Owned ,Telecommunication,10,7500.5
Female,26,2016,CS247,SLIM trainee,Trainee,Technical Academy,Telekom Malaysia Berhad,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,1,1500
Female,25,2017,CS247,clerk cum admin,Non Executive,sales and markerting,Alat Dapur Maju Sdn.Bhd,Private Limited Company(Syarikat Sendirian Berhad,Consumer Trading,1,1500
Male,25,2017,CS251 ,Engineer,Executive,Application Development,Payments Network Malaysia Sdn Bhd (PayNet),Corporate(Koperasi),Finance,1,2500.5
Female,24,2014,CS110,Pembantu Jualan,Non Executive,Sales,Privilege Style Trading Computer Shop,Sole Trader(Perseorangan),Information Technology,2,1500
Male,23,2017,CS253,Web Design Analyst,Non Executive,Content Management,Dell,Corporate(Koperasi),Information Technology,1,1500
Male,28,2014,CS251,system engineer ,Non Executive,technical,exabytes cloud sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,2,3500.5
Male,25,2016,CS240,IT OFFICER,Executive,IT,FIKR CONSULTANCY SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Services,1,2500.5
Female,24,2017,CS242,Trainee Etiqa Maybank,Trainee,Underwriting ,Etiqa Maybank,Corporate(Koperasi),Insurance,1,1500
Male,27,2016,CS110,Senior software developer,Executive,IT,NAZROL TECH SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,6,7500.5
Male,27,2016,CS110,Senior software developer,Executive,IT,NAZROL TECH SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,6,7500.5
Female,21,2016,CS110,STUDENT,STUDENT,,,,,1,
Female,25,2016,CS240,WEB DESIGNER,Non Executive,WEB DEVELOPMENT,AMTIS SOLUTION SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,1500
Male,25,2015,CS230,System Development,Executive,Group Digital Centre - Geomatics,Telekom Malaysia Berhad,Corporate(Koperasi),Telecommunication,2,3500.5
Male,29,2012,CS229,"Executive,HR",Executive,Human Resource,GCH RETAIL (M) S/B,Private Limited Company(Syarikat Sendirian Berhad,Business and retailing,6,3500.5
Female,26,2012,CS110,UI/UX Designer,Specialist,Service & Innovation,Green Packet Berhad,Corporate(Koperasi),Information Technology,3,3500.5
Male,26,2017,CS251,SYSTEM SUPPORT,Non Executive,ICT,KULIM ADVANCED TECHNOLOGIES SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Services,1,1500
Male,26,2015,CS230,It Consultant,Executive,IT Department,NCS,Corporate(Koperasi),Information Technology,3,7500.5
Male,25,2016,CS230,Programmer,Non Executive,Geomatics,Telekom Malaysia Berhad,Publicly traded government-linked company,Telecommunication,1,3500.5
Male,29,2009,CS110,BUSINESS,Owner,,BENZIN PRINTING SOLUTIONS,Sole Trader(Perseorangan),Services,4,1500
Male,28,2014,CS225,desktop engineer,technical,edms,ncs pte ltd,Private Limited Company(Syarikat Sendirian Berhad,Services,3,4500.5
Female,29,2012,CS230,Collection,Non Executive,Collection,IRB,Statutory Body(Badan Berkanun),Accountant and Audit,6,1500
Female,29,2011,CS244,Application Support Engineer,Non Executive,Information Technology,Strateq Health Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,6,2500.5
Female,25,2015,CS243,System Engineer,Executive,IT,EASS Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,3500.5
Female,26,2012,CS110,Network Engineer,Junior ,IT,CL Solution Sdn.Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,2500.5
Female,23,2017,CS253,SL1M TRAINEE,Non Executive,IT SUPPORT,MALAYSIA AIRPORTS HOLDINGS BERHAD,Corporate(Koperasi),Services,1,1500
Female,26,2015,CS229,admin exec,Executive,administrative,transwater API sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,2,2500.5
Male,31,2013,CS225,Technical support,Executive,IT,IIA technologies,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,4,3500.5
Female,24,2017,CS211,ADMIN CUM ACCOUNT CLERK,Non Executive,ACCOUNT,KARYA CITARASA SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,CONSTRUCTION,2,1500
Female,26,2015,CS229,Eksekutif Operasi,Executive,Community service,Pertubuhan Ikram Malaysia,Non-goverment Organisation,Operation,1,1500
Male,30,2011,CS230,Business intelligence Analyst,Manager,Digital Data Department,AirAsia Berhad,Corporate(Koperasi),Customer Services,6,7500.5
Male,26,2015,CS110,Usahawan Tani Moden,Entrepeneur,Food and Beverages,Chems,Sole Trader(Perseorangan),Food and beverage,4,4500.5
Female,24,2017,CS245,Trainee backup engineer,Trainee,Backup,T-Systems Malaysia,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,1500
Female,26,2014,CS229,PRODUCTION PLANNER,Executive,PLANNER,SAN MIGUEL YAMAMURA PLASTIC FILMS,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,3,2500.5
Male,23,2016,CS253,Junior Java Programmer,Non Executive,Software Services,Bestinet Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,1,2500.5
Female,26,2017,CS244,SATU,Non Executive,Finance,Syarikat Air Terengganu,Private Limited Company(Syarikat Sendirian Berhad,Services,17,1500
Female,23,2017,CS773,,,,,,,1,
Male,26,2011,CS110,NOC Enginner,Executive,Network Operation Center,MyKRIS Asia Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,3,3500.5
Male,32,2007,CS110,ASSISTANT DIRECTOR/ GOVT. AGENCY,Executive,BUSINESS,MyIPO,Statutory Body(Badan Berkanun),INTELLECTUAL PROPERTY,6,7500.5
Male,26,2009,CS110,SUPERVISOR ,Non Executive,OFFICE,PSS AM ENT ,Private Limited Company(Syarikat Sendirian Berhad,Customer Services,4,1500
Female,26,2013,CS110,Customs officer,Non Executive,Frod GST,Jabatan Kastam Diraja Malaysia Selangor,Goverment,Accountant and Audit,2,2500.5
Male,25,2016,CS110,Skim latihan 1malaysia trainee,trainee,OSH,TM,GLC,Telecommunication,1,1500
Male,24,2017,CS241,Hotel coordinator ,Non Executive,Housekeeping ,The everly Putrajaya ,Statutory Body(Badan Berkanun),Customer Services,1,1500
Female,26,2016,CS251,Project Engineer,Executive,IT,Chronos Process Integration Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Software,2,2500.5
Female,23,2017,CS249,Account Assistant,Non Executive,Finance,Nam Lee Pressed Metal Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,2500.5
Female,26,2015,CS113,Admin Accounts Executive,Executive,NO DEPARTMENT,BioREV SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Consumer Trading,1,1500
Female,26,2014,CS230,Software tester,Executive,Quality Assurance ,Hitachi eBworx Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,3500.5
Female,27,2012,CS221,Assistant Manager,Executive,Administration,Cryotech Enterprise,Sole Trader(Perseorangan),Textile,4,1500
Male,26,2017,CS243,Analyst Programmer,Manager,Information Technology,myMatrix IT Solutions Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,7500.5
Male,22,2017,CS110,Security Guard,Non Executive,Security,Shapadu,Private Limited Company(Syarikat Sendirian Berhad,Security,1,1500
Female,21,2017,CS111,Admin cum clerk,Non Executive,Insurance,Rosliz Agency,Sole Trader(Perseorangan),Services,1,1500
Female,25,2016,CS247,Admi,Non Executive,Account,Mesra Ukur Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,1,2500.5
Female,28,2012,CS221,Market Research,Executive,Business Development,PHN INDUSTRY,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,5,7500.5
Male,25,2016,CS229,Customer Service Agent,Executive,Customer Care Centre,RHB BERHAD,Corporate(Koperasi),Customer Services,1,2500.5
Male,25,2015,CS230,Application Engineer [Java EE],Executive,Credit Management,Hitachi eBworx,Private Limited Company(Syarikat Sendirian Berhad,Banking IT Solution,2,3500.5
Female,25,2017,CS247,Operations and marketing executive,Executive,Admin,Moovby,Private Limited Company(Syarikat Sendirian Berhad,Transportations,1,1500
Male,25,2017,CS254,Jr network engineer ,Non Executive,technical ,Afiintra technologies ,Private Limited Company(Syarikat Sendirian Berhad,distributor,1,2500.5
Male,26,2015,CS251,programmer,developer,no department,dynafront systems,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Male,26,2014,CS251,System Analyst,Executive,IT,Sony EMCS (M) Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,3,2500.5
Female,33,2006,CS220,programmer,Non Executive,Operation,Not applicable,Private Limited Company(Syarikat Sendirian Berhad,Services,11,2500.5
Male,26,2017,CS771,RESEARCH ASSISTANT,Executive,R&D,TRUE ZEAL SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Services,1,1500
Male,26,2016,CS230,Software Engineer,Executive,IT,Oracle Synergy Sdn Bhd,Partnership(Perkongsian),Information Technology,2,3500.5
Female,24,2017,CS248,SL1M TRAINEE,TRAINEE,R&D,TM BERHAD,Sole Trader(Perseorangan),Telecommunication,1,1500
Female,26,2014,CS244,Web Developer,Executive,Portal Department,Opensoft Technology Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,2500.5
Female,24,2017,CS247,IT SUPPORT,Non Executive,IT,CALMS TECHNOLOGY,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,1500
Female,25,2015,CS230,Programmer,Executive,R&D,Easi Ticketing Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,3500.5
Male,26,2016,CS247,exec,Executive,online,iis,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Male,24,2017,CS244,IT Consultant,Junior Consultant,IT,Vision Technology Consulting,I dont know. Sorry,Services,1,3500.5
Female,26,2016,CS247,Asisstant Tax Agent,Non Executive,Tax planning,Euro-Asia Corporate Services Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,1,1500
Female,24,2017,CS 251,IT / WEB ADMINISTRATOR,Non Executive,IT,THE ISKANDARIAN,Sole Trader(Perseorangan),Media and Broadcasting,1,1500
Male,23,2017,CS243,Business Intelligence Developer,Executive,Center for AI & Robotics,Augmented Innovation(Malaysia-Japan International Institute of Technology,Private Limited Company(Syarikat Sendirian Berhad,R&D,1,2500.5
Female,25,2014,CS110,AVM DEVELOPER,ASSOCIATE EXECUTIVE,JPPH,SAPURA SECURED TECHNOLOGIES,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,24,2014,CS110,IT Assistant,Non Executive,IT,Elite Ventures Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Oil and Gas,3,1500
Male,25,2013,CS110,System Engineer,Executive,Application Services,Edaran Berhad,Private Limited Company(Syarikat Sendirian Berhad,Services,1,2500.5
Female,24,2017,CS249,Pos Logistics Berhad,Executive,Corporate Development,Pos Logistics Berhd,Private Limited Company(Syarikat Sendirian Berhad,Services,1,1500
Female,23,2017,CS242,Finance Associate,Executive,Finance,QBE Insurance (M),Berhad,Insurance,1,1500
Male,23,2017,CS251,Web Designer,Non Executive,Information Technology,Web Impian Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,1500
Female,24,2016,CS247,Lecturer,Non Executive,Mathematics,UiTM KAMPUS JENGKA,Statutory Body(Badan Berkanun),Education,1,2500.5
Female,29,2011,CS214,Businewomen,Manager,Printing,Bookworm Printing and Stationary,Sole Trader(Perseorangan),Services,3,3500.5
Male,29,2010,CS229,Private Sector,Manager,Sales & Marketing,S P Setia Group Berhad,Government Linked Company (GLC),Property Development,7,7500.5
Female,25,2016,CS251,Application Developer,Executive,IT,Intel Corporation,Corporate(Koperasi),Manufacturing,2,3500.5
Male,28,2014,CS220,system support engineer,Executive,IT HoSHAS,Strateq Health sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,2500.5
Female,26,2015,CS229,PDRM,INVESTIGATION OFFICER,PDRM,PDRM,PDRM,Customer Services,1,3500.5
Male,26,2017,CS771,CREDIT CONTROL EXECUTIVE,Executive,ACCOUNT DEPARTMENT,INSTITUT PROFESIONAL BAITULMAL,Private Limited Company(Syarikat Sendirian Berhad,Education,1,2500.5
Female,25,2016,CS241,Assistant Research Officer,Non Executive,Advanced Informatics School (AIS),Universiti Teknologi Malaysia,government,Education,1,2500.5
Female,25,2017,CS247,Executive Trainee,Executive,Group Human Capital (HR),UEM Group Berhad,Corporate(Koperasi),Building & construction,1,1500
Male,23,2015,CS110,Intern,intern,IV&V,Mycrypto,Partnership(Perkongsian),Information Technology,1,1500
Female,25,2017,CS773,LECTURER PTFT,TEACHING,EDUCATION,UITM KAMPUS ALOR GAJAH,UNIVERSITY,Education,1,2500.5
Female,23,2017,CS243,Software Engineer,Junior ,IT,SIMPLE ADVANTAGE SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,24,2017,CS249,Admin Officer,Non Executive,Car Sales,Trinity Top Auto,Partnership(Perkongsian),Telecommunication,1,1500
Male,25,2016,CS251,IT Executive,Executive,IT Department,Cover IT Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,1,2500.5
Female,26,2017,CS244,Admin Assistant,Non Executive,Administration,Citylink Express,Private Limited Company(Syarikat Sendirian Berhad,Services,1,1500
Male,24,2015,CS110,management,Manager,human resource,www.orinsgroup.com,business to consumer,Customer Services,3,2500.5
Male,27,2016,CS229,Penolong Pegawai Pembangunan Masyarakat,Non Executive,Canseleri,Universiti Malaysia Kelantan,Kerajaan,Education,1,1500
Female,25,2013,CS111,customs,Non Executive,jabatan kastam diraja malaysia,jabatan kastam diraja malaysia,goverment,.,2,2500.5
Male,25,2016,CS251,IT Officer,IT Officer,IT,Malaysian Timber Industry Board,Statutory Body(Badan Berkanun),Services,1,2500.5
Female,24,2016,CS248,Healthcare assistant,Non Executive,KPJ,KPJ Tawakkal,Corporate(Koperasi),Hospitality,1,1500
Female,28,2017,CS244,Staffnurse Attendant,Non Executive,Medical,HUSM,Statutory Body(Badan Berkanun),Hospitality,1,1500
Male,25,2016,CS241 ,Assistant Statistician Officer,Non Executive,Section: Services & Financial (Operational),Department of Statistics Malaysia Wilayah Persekutuan (DOSM WP),Kerajaan (Goverment),Statistical Information,2,2500.5
Male,25,2016,CS230,Network & Security Engineer,Non Executive,TSSD (infrastructure),e-Lock Corporation SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Female,25,2017,CS230,Store In Charge,Manager,Retail,Watson's Personal Care Store Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Retailing,1,2500.5
Female,25,2016,CS251 ,Officer,Non Executive,Distributor Support,ForLife Reaearch Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Marketing ,1,2500.5
Female,26,2014,CS230,Author,Non Executive,Authoring,EASTERN BLU SDN.BHD,Private Limited Company(Syarikat Sendirian Berhad,Services,3,2500.5
Female,27,2013,CS220,Software QA,Executive,Special Project,Century Software Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Accountant and Audit,4,3500.5
Male,25,2014,CS110,Head of IT,Executive,IT,Prestige Multimedia Sdn Bhd,Partnership(Perkongsian),Information Technology,3,3500.5
Female,27,2013,CS230,Process improvement executive ,Executive,Business systems and processes ,Kenanga,Private Limited Company(Syarikat Sendirian Berhad,Investment bank,5,4500.5
Male,26,2015,CS248,JUNIOR EXECUTIVE,Executive,OPERATION,OUTPOST UNIFORM,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,2,2500.5
Male,26,2016,CS251,Junior Programmer,Non Executive,ICT,Glotech Prima Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,21,2017,CS110,Cashier,Non Executive,Supermarket,Pasaraya karnival jerai,Sole Trader(Perseorangan),Manufacturing,1,1500
Male,26,2014,CS226,Business Analyst,Executive,Business Analyst,Protech Synergy Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,3500.5
Male,27,2016,CS221,factory workers,Executive,human resourse,flex,manufacturing,Manufacturing,2,2500.5
Female,24,2016,CS530,Postgraduate Student,Student,Fskm,Uitm,Statutory Body(Badan Berkanun),Education,1,1500
Male,32,2011,CS110,IT EXECUTIVE,Executive,IT,FFM BERHAD,Partnership(Perkongsian),Manufacturing,6,4500.5
Female,24,2017,CS230,INFORMATION TECHNOLOGY OFFICER,Executive,IT,PERBADANAN MENTERI BESAR PERAK,Statutory Body(Badan Berkanun),Consumer Trading,1,2500.5
Male,26,2014,CS220,Worker,Executive,IT,Heitech Padu Berhad,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,2500.5
Female,22,2015,CS111,Logistic Officer,Clerk,Logistics & Warehousing,My-Sutera Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,1500
Female,22,2015,CS111,Logistic Officer,Clerk,Logistics & Warehousing,My-Sutera Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,1500
Female,26,2017,CS773,Invoice processor,Executive,Invoicing,Sapura Energy Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,oil and gas construction,1,3500.5
Female,28,2013,CS225,Takaful Consultant,Agent,PBTB,PAMB,Private,Customer Services,4,2500.5
Female,26,2015,CS773,PAYROLL ASSOCIATE,Executive,PAYROLL,TRICOR BUSINESS SERVICES SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Services,2,2500.5
Male,23,2017,CS110,Executive ,Executive,Production,Golden fresh,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,2,1500
Female,26,2015,CS110,Process Analyst ,Executive,Global Delivery Management ,T-Systems Malaysia,Multinational company ,Information Technology,2,3500.5
Female,26,2015,CS251,Mobile deceloper,Executive,Application Development,PETRONAS ICT,Private Limited Company(Syarikat Sendirian Berhad,Oil & Gas,3,3500.5
Male,27,2012,CS230,Test Engineer,Executive,Product Assurance & Certification,SWIFT Support Services Malaysia Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,5,7500.5
Female,26,2014,CS228,Banker,Executive,HSBC,HSBC,Private Limited Company(Syarikat Sendirian Berhad,Banking,3,3500.5
Male,26,2015,CS228,Service supervisor,Manager,Pest Control,Rentokil-Initial,Private Limited Company(Syarikat Sendirian Berhad,Pest control,2,3500.5
Female,27,2012,CS251,Middleware Engineer,Executive,IT,DXC Technology,Corporate(Koperasi),Information Technology,2,3500.5
Female,27,2014,CS214,Admin,Non Executive,Human Resources,Octolux Technologies Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,2,2500.5
Female,29,2012,CS230,Shop assistant,Non Executive,None,Iz Usaha Jaya Enterprise,Sole Trader(Perseorangan),Stationery,4,450
Female,28,2013,CS244,Software Engineer ,Executive,IT,Manulife Insurance Berhad ,Private Limited Company(Syarikat Sendirian Berhad,Services,5,3500.5
Female,26,2017,CS244,programmer,Executive,IT,KPJ Healthcare,Private Limited Company(Syarikat Sendirian Berhad,Hospitality,1,1500
Female,29,2012,CS230,Customer service executive,Executive,Banking & Finance,Maybank,Private Limited Company(Syarikat Sendirian Berhad,Accountant and Audit,5,4500.5
Male,30,2011,CS110,System Analyst,Executive,IT,Bank Islam,Berhad,Financial Services,6,7500.5
Male,25,2016,CS244,Special officer (N41),Executive,Jurutulis Negeri Johor,Pejabat dewan negeri johor,Corporate(Koperasi),Administration ,2,2500.5
Female,26,2015,CS229 ,Account assistant,Non Executive,Account,Posim marketing sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Trading company,2,1500
Female,24,2016,CS228,teacher,teaching,teaching,Little Caliphs,Private Limited Company(Syarikat Sendirian Berhad,Education,3,1500
Female,26,2016,CS247,SLIM TRAINEE,Non Executive,Technical,TELEKOM MALAYSIA BERHAD,Swasta,Telecommunication,1,1500
Male,25,2015,CS220,Software Engineer ,Executive,Mobile ,Radiant GlobalTech,Sole Trader(Perseorangan),Information Technology,2,3500.5
Female,30,2013,CS220,pen. pegawai IT,Non Executive,IT,Universiti Malaysia Kelantan,Statutory Body(Badan Berkanun),Education,1,2500.5
Male,24,2016,CS223,Information System executive,Executive,System Development & Integration,Sarawak Information System SDN.BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Male,27,2014,CS230,IT Technician,Non Executive,ICT Unit,Yayasan Sabah,Statutory Body(Badan Berkanun),Education,3,1500
Female,28,2013,CS226,Biz Intellgence Analyst,Executive,SME Banking,RHB Bank,Corporate(Koperasi),Banking,3,3500.5
Female,26,2015,CS247,Therapist ,Non Executive,Health ,Jureima Ms,Sole Trader(Perseorangan),Services,1,3500.5
Female,24,2014,CS110,Asst. Restaurant Manager,Manager,Food and Beverages,Pizza Hut Delivery Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Food & Beverages,2,1500
Male,23,2016,CS110,Reception cum admin,Non Executive,reception cum admin,Sepilok Bed & Breakfast,Resort,Customer Services,23,960
Female,25,2017,CS773,Unemployed,,,,,,1,
Female,27,2016,CS244,Acct & Purchasing Exec,Executive,Account & Purchasing,Recomtec Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,1500
Male,24,2016,CS230,Executive,Executive,Management system,Tdk sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,2500.5
Female,26,2014,CS251 ,IT Executive,Executive,IT,Pertubuhan Tarekat Muktabar Malaysia,NGO,NGO,3,2500.5
Male,26,2016,CS230,ASSISTANT INFORMATION TECHNOLOGY OFFICER - F29,Non Executive, CITDS,UNIMAS,Statutory Body(Badan Berkanun),Education,5,2500.5
Male,24,2014,CS230,Technician,Non Executive,IT,Wan Salleh Enterprise,Partnership(Perkongsian),Telecommunication,1,1500
Male,25,2014,CS110,Software engineer ,Executive,IT,POWERCOMP ,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,3500.5
Female,25,2014,CS228,Corporate Customer Service Exec.,Executive,Corporate Sales,MYEG Services Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,2,2500.5
Female,26,2016,CS241,Technology Consulting Analyst,Executive,Hydrocarbon Commercial Management,Accenture Solutions Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,4500.5
Male,26,2016,CS230,IT Officer,Executive,IT,Comfort Rubber Gloves Industries Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,1500
Male,26,2014,CS244,System Administrator,Executive,IT,Sime darby,Private Limited Company(Syarikat Sendirian Berhad,Media and Broadcasting,3,3500.5
Female,24,2017,CS241 ,Procurement,Executive,Finance,Dagang Nexchange Berhad,Corporate(Koperasi),Services,1,2500.5
Male,24,2016,CS244,Hardware Engineer,Executive,Research and Development,Rungus TP Holding sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,3,7500.5
Female,24,2017,CS251 ,Quality Control ( Software),Executive,Software Engineer,Aurora Cloud Works Sdn.Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,26,2014,CS110,IT admin,Non Executive,IT department,Agih Tinta Sdn.Bhd,Private Limited Company(Syarikat Sendirian Berhad,ICT Retails ,1,1500
Male,25,2016,CS230,IT Assistant,Non Executive,IT department,Pasadana Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Customer Services,1,2500.5
Male,26,2016,CS243,Programmer,Executive,Consultant,E-outsource Asia,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Male,24,2016,CS222,Broadband Operation,Executive,unifi marketing operation,Telekom Malaysia Berhad,GLC,Telecommunication,1,3500.5
Male,26,2015,CS221,research officer,Non Executive,ncd,institut kesihatan umum,kerajaan,Hospitality,2,1500
Female,24,2016,CS225,Application Engineer,Executive,Transaction Banking,Hitachi Ebworx Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,3500.5
Male,23,2017,CS230,Appication Developer,Executive,IT Department,Fiction Labs Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,24,2017,CS248,Customer service,Executive,Celcom service center,Celcom mobile sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,1,1500
Male,26,2017,CS251,IT Support Engineer,Executive,IT,ASK4KEY SDN. BHD.,Private Limited Company(Syarikat Sendirian Berhad,Services,2,2500.5
Male,26,2017,AT110,Pegawai Penyelidik Q41(PSH),Executive,Research,Pejabat Daerah Kesihatan Kuala Selangor,Government,Hospitality,1,1500
Male,22,2015,CS110,Health consultant,Supervisor,Sales,Cannergy,Partnership(Perkongsian),Business,1,1500
Female,29,2012,CS230,PEGAWAI TEKNOLOGI MAKLUMAT,Executive,INFO TECH MANAGEMENT,MINISTRY OF DEFENCE,GOVERNMENT ,Information Technology,5,4500.5
Female,27,2015,CS229,Purchasing,Officer,Production Control,Towam sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,2,2500.5
Male,29,2012,CS223,PROGRAMMER,Executive,IT,CHEMI-CON(M) SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,5,3500.5
Female,23,2017,CS241,Research Executive,Executive,Research Marketing,Cardas Research and Consulting,Private Limited Company(Syarikat Sendirian Berhad,Marketing Research,1,2500.5
Female,24,2017,CS241,Internship,Internship,Data Analytics,Richworks International Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Education,1,1500
Female,24,2017,CS240,IT CLERK,Non Executive,ADMINISTRATION,BINTANG SECURITY SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Services,1,1500
Male,24,2017,CS245,Engineer ,Junior ,Technical ,Aglotel ,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,1,1500
Male,26,2015,CS251 ,IT Support & Technician,Non Executive,IT department,mobiweb sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,2,2500.5
Male,25,2015,CS251,Web Developer,Non Executive,Web Developer,Get Hyred Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Female,24,2014,CS110,Information Technology Assistant Officer,Non Executive,Information Technology,Langkawi Development Authority,Statutory Body(Badan Berkanun),Services,1,2500.5
