Gender :,Age:,Graduation Year :,Program Code :,Current Occupation :,Job category :,Department :,Company Name,Type of Company :,Company's nature of business :,Years of work experience (after graduation):,Current Salary Midpoint
Male,26,2014,CS230,programmer,Executive,Software Development,Multimedia Consulting SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Male,31,2007,CS110,System Developer,Executive,Special Project,Celcom Axiata Bhd,Corporate(Koperasi),Telecommunication,7,4500.5
Male,34,2004,CS110,Senior Lecturer,Executive,Social Science,UPM Bintulu,Statutory Body(Badan Berkanun),Education,6,7500.5
Male,26,2014,CS110,Network Engineer,Executive,IT-Technical,Bright Nexus,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,2500.5
Male,28,2013,CS225,IT Executive,Executive,Operation,Cosmopoint Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Education,4,3500.5
Male,27,2014,CS222,Insurance Industry,Executive,Motor Claims Litigation,Etiqa Insurance Berhad,Private Limited Company(Syarikat Sendirian Berhad,Insurance,3,3500.5
Female,33,2008,CS244,Planning & Project Control Executive,Executive,Planning & Project Control,MMC Oil & Gas Engineering Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Oil & Gas,9,3500.5
Female,25,2014,CS110,SAFETY SUPERVISOR,Executive,SAFETY AND HEALTH ,DOMINANT TECHNOLOGIES & SUPPLY (M) SDN.BHD.,Private Limited Company(Syarikat Sendirian Berhad,Services,3,2500.5
Female,27,2012,CS110,IT Developer,Executive,IT,BloomThis Flora Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,e-commerce,5,3500.5
Female,29,2011,CS214 ,Lecturer ,Professional ,Fskm,Uitm,Statutory Body(Badan Berkanun),Education,1,4500.5
Male,29,2011,CS222,AML/CFT Compliance Officer and Trainer,Senior Manager,Compliance,Alaf Jutawan Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Money Service Business,6,7500.5
Male,29,2012,CS225,Radiation Protection Officer,Executive,Engineering,Billion Prima Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,4,3500.5
Male,30,2012,CS220,Senior Software Developer,Executive,Information Technology,Mobility One Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,5,7500.5
Male,30,2013,CS228,Takaful Consultant,Non Executive,Agency Department,Prudential BSN Takaful Berhad,Private Limited Company(Syarikat Sendirian Berhad,Services,4,3500.5
Female,22,2017,CS143,OFFICER PRODUCTION,OFFICER ,PRODUCTION,TOP GLOVE SDN BHD ,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,2500.5
Female,24,2017,CS249,putrajaya,pekerja sambilan harian 41,pengurusan sumber manusia,kementerian pendidikan tinggi,Statutory Body(Badan Berkanun),Information Technology,1,1500
Male,31,2012,CS231,System Analyst,Executive,IT,KWSP,Statutory Body(Badan Berkanun),Social Security,6,7500.5
Male,25,2013,CS110,Mobile Application Developer,Executive,Developer,TRM Nett Systems (M) SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,4500.5
Female,26,2015,CS241,SENIOR OFFICER HUMAN RESOURCE,Non Executive,HUMAN RESOURCE,MALINDO AIRWAYS SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,TRANSPORTATION,3,2500.5
Male,24,2017,CS244,Sales assistant ,Non Executive,Sales,MPC sales & services,Sole Trader(Perseorangan),Sales,1,1500
Female,28,2014,CS251,Web and Graphic Designer,Executive,IT,MiCare Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,3,3500.5
Male,27,2015,CS247,Ict engineer,Executive,IT,RH RESOURCES SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Services,2,2500.5
Female,25,2016,CS246,Technical Support Officer ,Executive,Technical Support ,Puncak Tegap Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Female,23,2017,CS249,customer service,Executive,customer financial division,Ocbc bank,Corporate(Koperasi),Banking,1,2500.5
Female,25,2017,CS245,Sales coordinator,Executive,Tender,Kinrara aplikasi sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,25,2017,CS244 ,TEACHER,REPLACEMENT,EDUCATION,SMK MARAN,GOVERNMENT,Education,1,1500
Male,26,2014,CS244 ,Test Engineer,Executive,Sales Department,Hewllet-Packard (HP),Corporate(Koperasi),Information Technology,4,2500.5
Female,24,2017,CS247,IT Officer,Executive,IT Department,Equmed sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Medical Equipment Supplier,1,1500
Male,29,2014,CS778,Linux Engineer,Executive,Operations,DXC Technology,Enterprise,Information Technology,5,7500.5
Female,27,2013,CS214,Management trainee,Executive,Corporate Business,MBSB,Corporate(Koperasi),Accountant and Audit,4,3500.5
Female,27,2015,CS249,Clerk,Clerk,Finance,D&d control (m) sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,2,1500
Female,24,2017,CS249,FINANCIAL,ASSISTANT ,FINANCIAL,HOSPITAL KUALA KRAI,KERAJAAN,Hospitality,1,1500
Male,25,2016,CS110,Analyst Programmer,Non Executive,Research & Development,BOSS SOLUTIONS SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Services,2,2500.5
Female,24,2016, CS244,Junior Java Developer,Junior,Software Service,Bestinet Sdb Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,25,2014,CS247,Full Time Tutor,Non Executive,Tuition Centre,Maths Catch Puchong,Private Limited Company(Syarikat Sendirian Berhad,Education,1,1500
Female,25,2016,CS226,Analyst Programmer,Non Executive,Information Technology,Meridian(M) Diversified Sdn.Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,23,2017,CS246 ,QA Tester / Business Analyst,Executive,Product Team,Loanstreet,Partnership(Perkongsian),Information Technology,1,2500.5
Male,32,2010,CS233,Lead IT Engineer,Executive,IT Division,Telekom Malaysia,Telco,Services,6,4500.5
Male,24,2016,CS113,"bisnes restaurant ,part-time gold seller",Non Executive,own,"haza sr enterprise ,w sarahudin enterprise",Partnership(Perkongsian),food service,1,3500.5
Female,23,2017,CS230,Software developer,Junior programmer,Software,Mantap sinergi sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,23,2017,CS248,Administrative,Assistant,Administrative,Apic Solutions Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,1,1500
